sezon,data,godz,cena_pln_mwh
Zima,2025-01-30,9,613.74
Zima,2025-01-30,10,517.31
Zima,2025-01-30,11,497.09
Zima,2025-01-30,12,478.34
Zima,2025-01-30,13,495.91
Zima,2025-01-30,14,549.02
Zima,2025-01-30,15,634.63
Zima,2025-01-30,16,692.32
Zima,2025-01-30,17,751.48
Zima,2025-01-30,18,732.43
Zima,2025-01-30,19,688.22
Zima,2025-01-30,20,632.02
Zima,2025-01-30,21,565.01
Zima,2025-01-30,22,537.33
Zima,2025-01-30,23,505.2
Wiosna,2025-04-01,0,457.27
Wiosna,2025-04-01,1,421.48
Wiosna,2025-04-01,2,417.36
Wiosna,2025-04-01,3,430.32
Wiosna,2025-04-01,4,435.33
Wiosna,2025-04-01,5,469.27
Wiosna,2025-04-01,6,598.25
Wiosna,2025-04-01,7,832.51
Wiosna,2025-04-01,8,751.33
Wiosna,2025-04-01,9,757.2
Wiosna,2025-04-01,10,463.94
Wiosna,2025-04-01,11,416.17
Wiosna,2025-04-01,12,384.9
Wiosna,2025-04-01,13,358.23
Wiosna,2025-04-01,14,379.33
Wiosna,2025-04-01,15,392.79
Wiosna,2025-04-01,16,425.13
Wiosna,2025-04-01,17,527.89
Wiosna,2025-04-01,18,578.96
Wiosna,2025-04-01,19,720.14
Wiosna,2025-04-01,20,618.14
Wiosna,2025-04-01,21,478.79
Wiosna,2025-04-01,22,461.07
Wiosna,2025-04-01,23,425.22
Wiosna,2025-04-02,0,445.75
Wiosna,2025-04-02,1,422.69
Wiosna,2025-04-02,2,409.28
Wiosna,2025-04-02,3,407.56
Wiosna,2025-04-02,4,426.16
Wiosna,2025-04-02,5,447.25
Wiosna,2025-04-02,6,524.14
Wiosna,2025-04-02,7,629.64
Wiosna,2025-04-02,8,524.03
Wiosna,2025-04-02,9,357.85
Wiosna,2025-04-02,10,180.16
Wiosna,2025-04-02,11,-57.2
Wiosna,2025-04-02,12,-50.84
Wiosna,2025-04-02,13,-59.02
Wiosna,2025-04-02,14,-30.41
Wiosna,2025-04-02,15,-19.37
Wiosna,2025-04-02,16,137.18
Wiosna,2025-04-02,17,363.79
Wiosna,2025-04-02,18,529.6
Wiosna,2025-04-02,19,667.83
Wiosna,2025-04-02,20,588.69
Wiosna,2025-04-02,21,452.56
Wiosna,2025-04-02,22,453.57
Wiosna,2025-04-02,23,448.8
Wiosna,2025-04-03,0,430.11
Wiosna,2025-04-03,1,410.13
Wiosna,2025-04-03,2,417.3
Wiosna,2025-04-03,3,425.89
Wiosna,2025-04-03,4,446.0
Wiosna,2025-04-03,5,457.79
Wiosna,2025-04-03,6,551.09
Wiosna,2025-04-03,7,656.22
Wiosna,2025-04-03,8,534.23
Wiosna,2025-04-03,9,356.41
Wiosna,2025-04-03,10,159.31
Wiosna,2025-04-03,11,-7.03
Wiosna,2025-04-03,12,-4.1
Wiosna,2025-04-03,13,-24.92
Wiosna,2025-04-03,14,-8.97
Wiosna,2025-04-03,15,35.04
Wiosna,2025-04-03,16,374.81
Wiosna,2025-04-03,17,618.51
Wiosna,2025-04-03,18,694.37
Wiosna,2025-04-03,19,968.59
Wiosna,2025-04-03,20,947.49
Wiosna,2025-04-03,21,624.37
Wiosna,2025-04-03,22,520.93
Wiosna,2025-04-03,23,470.35
Wiosna,2025-04-04,0,466.95
Wiosna,2025-04-04,1,452.93
Wiosna,2025-04-04,2,448.41
Wiosna,2025-04-04,3,447.73
Wiosna,2025-04-04,4,459.44
Wiosna,2025-04-04,5,488.59
Wiosna,2025-04-04,6,685.34
Wiosna,2025-04-04,7,754.09
